P     N  Lbg | lands/h  p50min  p95min  maxmin | cpu/land   load rnd95
P315 T15 |    45.8     4.1    10.0 |      6.7
P325 T15 |    62.1     7.8    18.5 |      7.2
P415 T15 |    34.8     7.4    27.2 |      3.7
P425 T15 |    42.4    14.2    46.3 |      3.3
P515 T15 |    46.3     4.1     9.4 |      6.6
P525 T15 |    66.5     5.8    17.6 |      6.9
P215 flake.10 |    26.1     3.7    10.8 |      7.2
P225 flake.10 |    42.4     4.1    16.0 |      8.3
P315 flake.10 |    27.1     3.6    10.5 |      6.9
P325 flake.10 |    42.8     4.3    13.6 |      7.6
P415 flake.10 |    23.5     5.7    19.1 |      4.6
P425 flake.10 |    35.6     8.5    30.5 |      3.7
P515 flake.10 |    27.0     3.7    10.6 |      6.8
P525 flake.10 |    43.2     4.2    13.3 |      7.3

== ADMISSION WIDTH K of cc-sem reso-land (shipped: K=1), background 150
cell   | lands/h  p50min  p95min | cpu/land
P08 K1 |     4.9    16.9   276.0 |     75.7
P08 K2 |     8.8     7.1   102.6 |     54.6
P08 K3 |     9.2     6.2    91.4 |     51.1
P015 K1 |     2.4     0.2  1308.7 |    162.4
P015 K2 |     4.7    14.7   638.4 |    160.2
P015 K3 |     7.8    17.4   349.4 |    140.9
P025 K1 |     1.6     0.2  1590.3 |    245.6
P025 K2 |     2.8     3.6  1399.0 |    272.1
P025 K3 |     3.9    21.5  1252.4 |    283.8
P040 K1 |     1.3     0.2  2119.9 |    289.1
P040 K2 |     1.9     0.2  2138.5 |    393.2
P040 K3 |     2.7     0.2  1971.0 |    408.8
P18 K1 |     6.1     6.5   214.2 |     29.6
P18 K2 |    12.8     3.3    28.9 |     14.0
P18 K3 |    12.9     3.4    25.7 |     13.8
P115 K1 |     2.1    41.1  1459.2 |     88.7
P115 K2 |     4.7    18.2   611.6 |     80.1
P115 K3 |     8.4     9.7   320.5 |     66.4
P125 K1 |     1.5     0.2  1982.1 |    122.4
P125 K2 |     2.7     4.2  1461.5 |    139.2
P125 K3 |     3.9    21.8  1214.3 |    143.5
P140 K1 |     1.2     0.2  2151.2 |    153.8
P140 K2 |     2.1     0.2  2106.3 |    181.8
P140 K3 |     2.8     0.2  2083.8 |    199.4
P38 K1 |    14.2     3.4     8.6 |      5.8
P38 K2 |    14.6     3.3     6.5 |      5.7
P38 K3 |    14.6     3.3     6.2 |      5.7
P315 K1 |    25.3     3.8    13.2 |      6.4
P315 K2 |    26.6     3.5     7.5 |      6.2
P315 K3 |    27.3     3.6     7.2 |      6.3
P325 K1 |    34.3    10.6    36.5 |      7.3
P325 K2 |    43.6     4.1    10.4 |      6.8
P325 K3 |    43.9     4.2     9.6 |      6.7
